state_code,date,common_date_id
IL,2019-10,2019-10IL
IL,2019-11,2019-11IL
IL,2019-12,2019-12IL
IL,2020-01,2020-01IL
IL,2020-02,2020-02IL
IL,2020-03,2020-03IL
IL,2020-04,2020-04IL
IL,2020-05,2020-05IL
IL,2020-06,2020-06IL
IL,2020-07,2020-07IL
IL,2020-08,2020-08IL
IL,2020-09,2020-09IL
IL,2020-10,2020-10IL
IL,2020-11,2020-11IL
IL,2020-12,2020-12IL
IL,2021-01,2021-01IL
IL,2021-02,2021-02IL
IL,2021-03,2021-03IL
IL,2021-04,2021-04IL
IL,2021-05,2021-05IL
IL,2021-06,2021-06IL
IL,2021-07,2021-07IL
IL,2021-08,2021-08IL
IL,2021-09,2021-09IL
IL,2021-10,2021-10IL
IL,2021-11,2021-11IL
IL,2021-12,2021-12IL
IL,2022-01,2022-01IL
IL,2022-02,2022-02IL
IL,2022-03,2022-03IL
IL,2022-04,2022-04IL
IL,2022-05,2022-05IL
IL,2022-06,2022-06IL
IL,2022-07,2022-07IL
IL,2022-08,2022-08IL
IL,2022-09,2022-09IL
IL,2022-10,2022-10IL
IL,2022-11,2022-11IL
IL,2022-12,2022-12IL
IL,2023-01,2023-01IL
IL,2023-02,2023-02IL
IL,2023-03,2023-03IL
IL,2023-04,2023-04IL
IL,2023-05,2023-05IL
IL,2023-06,2023-06IL
IN,2018-12,2018-12IN
IN,2019-01,2019-01IN
IN,2019-02,2019-02IN
IN,2019-03,2019-03IN
IN,2019-04,2019-04IN
IN,2019-05,2019-05IN
IN,2019-06,2019-06IN
IN,2019-07,2019-07IN
IN,2019-08,2019-08IN
IN,2019-09,2019-09IN
IN,2019-10,2019-10IN
IN,2019-11,2019-11IN
IN,2019-12,2019-12IN
IN,2020-01,2020-01IN
IN,2020-02,2020-02IN
IN,2020-03,2020-03IN
IN,2020-04,2020-04IN
IN,2020-05,2020-05IN
IN,2020-06,2020-06IN
IN,2020-07,2020-07IN
IN,2020-08,2020-08IN
IN,2020-09,2020-09IN
IN,2020-10,2020-10IN
IN,2020-11,2020-11IN
IN,2020-12,2020-12IN
IN,2021-01,2021-01IN
IN,2021-02,2021-02IN
IN,2021-03,2021-03IN
IN,2021-04,2021-04IN
IN,2021-05,2021-05IN
IN,2021-06,2021-06IN
IN,2021-07,2021-07IN
IN,2021-08,2021-08IN
IN,2021-09,2021-09IN
IN,2021-10,2021-10IN
IN,2021-11,2021-11IN
IN,2021-12,2021-12IN
IN,2022-01,2022-01IN
IN,2022-02,2022-02IN
IN,2022-03,2022-03IN
IN,2022-04,2022-04IN
IN,2022-05,2022-05IN
IN,2022-06,2022-06IN
IN,2022-07,2022-07IN
IN,2022-08,2022-08IN
IN,2022-09,2022-09IN
IN,2022-10,2022-10IN
IN,2022-11,2022-11IN
IN,2022-12,2022-12IN
IN,2023-01,2023-01IN
IN,2023-02,2023-02IN
IN,2023-03,2023-03IN
IN,2023-04,2023-04IN
IN,2023-05,2023-05IN
IN,2023-06,2023-06IN
KS,2018-12,2018-12KS
KS,2019-01,2019-01KS
KS,2019-02,2019-02KS
KS,2019-03,2019-03KS
KS,2019-04,2019-04KS
KS,2019-05,2019-05KS
KS,2019-06,2019-06KS
KS,2019-07,2019-07KS
KS,2019-08,2019-08KS
KS,2019-09,2019-09KS
KS,2019-10,2019-10KS
KS,2019-11,2019-11KS
KS,2019-12,2019-12KS
KS,2020-01,2020-01KS
KS,2020-02,2020-02KS
KS,2020-03,2020-03KS
KS,2020-04,2020-04KS
KS,2020-05,2020-05KS
KS,2020-06,2020-06KS
KS,2020-07,2020-07KS
KS,2020-08,2020-08KS
KS,2020-09,2020-09KS
KS,2020-10,2020-10KS
KS,2020-11,2020-11KS
KS,2020-12,2020-12KS
KS,2021-01,2021-01KS
KS,2021-02,2021-02KS
KS,2021-03,2021-03KS
KS,2021-04,2021-04KS
KS,2021-05,2021-05KS
KS,2021-06,2021-06KS
KS,2021-07,2021-07KS
KS,2021-08,2021-08KS
KS,2021-09,2021-09KS
KS,2021-10,2021-10KS
KS,2021-11,2021-11KS
KS,2021-12,2021-12KS
KS,2022-01,2022-01KS
KS,2022-02,2022-02KS
KS,2022-03,2022-03KS
KS,2022-04,2022-04KS
KS,2022-05,2022-05KS
KS,2022-06,2022-06KS
KS,2022-07,2022-07KS
KS,2022-08,2022-08KS
KS,2022-09,2022-09KS
KS,2022-10,2022-10KS
KS,2022-11,2022-11KS
KS,2022-12,2022-12KS
KS,2023-01,2023-01KS
KS,2023-02,2023-02KS
KS,2023-03,2023-03KS
KS,2023-04,2023-04KS
KS,2023-05,2023-05KS
KS,2023-06,2023-06KS
KY,2018-12,2018-12KY
KY,2019-01,2019-01KY
KY,2019-02,2019-02KY
KY,2019-03,2019-03KY
KY,2019-04,2019-04KY
KY,2019-05,2019-05KY
KY,2019-06,2019-06KY
KY,2019-07,2019-07KY
KY,2019-08,2019-08KY
KY,2019-09,2019-09KY
KY,2019-10,2019-10KY
KY,2019-11,2019-11KY
KY,2019-12,2019-12KY
KY,2020-01,2020-01KY
KY,2020-02,2020-02KY
KY,2020-03,2020-03KY
KY,2020-04,2020-04KY
KY,2020-05,2020-05KY
KY,2020-06,2020-06KY
KY,2020-07,2020-07KY
KY,2020-08,2020-08KY
KY,2020-09,2020-09KY
KY,2020-10,2020-10KY
KY,2020-11,2020-11KY
KY,2020-12,2020-12KY
KY,2021-01,2021-01KY
KY,2021-02,2021-02KY
KY,2021-03,2021-03KY
KY,2021-04,2021-04KY
KY,2021-05,2021-05KY
KY,2021-06,2021-06KY
KY,2021-07,2021-07KY
KY,2021-08,2021-08KY
KY,2021-09,2021-09KY
KY,2021-10,2021-10KY
KY,2021-11,2021-11KY
KY,2021-12,2021-12KY
KY,2022-01,2022-01KY
KY,2022-02,2022-02KY
KY,2022-03,2022-03KY
KY,2022-04,2022-04KY
